 ,Area,Mean,Min,Max
319,162,255,255,255
320,308,255,255,255
321,359,255,255,255
322,259,255,255,255
323,480,255,255,255
324,310,255,255,255
325,279,255,255,255
326,362,255,255,255
327,458,255,255,255
328,353,255,255,255
329,279,255,255,255
330,318,255,255,255
331,308,255,255,255
332,299,255,255,255
333,314,255,255,255
334,297,255,255,255
335,286,255,255,255
336,292,255,255,255
337,295,255,255,255
338,275,255,255,255
339,369,255,255,255
340,365,255,255,255
341,393,255,255,255
342,264,255,255,255
343,357,255,255,255
344,321,255,255,255
345,295,255,255,255
346,455,255,255,255
347,273,255,255,255
348,294,255,255,255
349,297,255,255,255
350,292,255,255,255
351,270,255,255,255
352,323,255,255,255
353,309,255,255,255
354,256,255,255,255
355,283,255,255,255
356,295,255,255,255
357,403,255,255,255
358,323,255,255,255
359,265,255,255,255
360,320,255,255,255
361,318,255,255,255
362,203,255,255,255
363,289,255,255,255
364,298,255,255,255
365,361,255,255,255
366,309,255,255,255
367,292,255,255,255
368,416,255,255,255
369,435,255,255,255
370,282,255,255,255
371,460,255,255,255
372,309,255,255,255
373,205,255,255,255
374,298,255,255,255
375,299,255,255,255
376,280,255,255,255
377,279,255,255,255
378,281,255,255,255
379,260,255,255,255
380,274,255,255,255
381,244,255,255,255
382,317,255,255,255
383,355,255,255,255
384,303,255,255,255
385,288,255,255,255
386,327,255,255,255
387,386,255,255,255
388,285,255,255,255
389,389,255,255,255
390,362,255,255,255
391,475,255,255,255
392,293,255,255,255
393,290,255,255,255
394,340,255,255,255
395,278,255,255,255
396,304,255,255,255
397,358,255,255,255
398,334,255,255,255
399,469,255,255,255
400,280,255,255,255
401,322,255,255,255
402,369,255,255,255
403,266,255,255,255
404,285,255,255,255
405,276,255,255,255
406,298,255,255,255
407,284,255,255,255
408,305,255,255,255
409,298,255,255,255
410,403,255,255,255
411,249,255,255,255
412,275,255,255,255
413,332,255,255,255
414,364,255,255,255
415,264,255,255,255
416,281,255,255,255
417,260,255,255,255
418,294,255,255,255
419,275,255,255,255
420,164,255,255,255
421,310,255,255,255
422,302,255,255,255
423,302,255,255,255
424,256,255,255,255
425,333,255,255,255
426,161,255,255,255
427,308,255,255,255
428,306,255,255,255
429,328,255,255,255
430,368,255,255,255
431,262,255,255,255
432,320,255,255,255
433,271,255,255,255
434,301,255,255,255
435,327,255,255,255
436,319,255,255,255
437,279,255,255,255
438,167,255,255,255
439,386,255,255,255
440,309,255,255,255
441,433,255,255,255
442,345,255,255,255
443,438,255,255,255
444,268,255,255,255
445,354,255,255,255
446,427,255,255,255
447,306,255,255,255
448,272,255,255,255
449,285,255,255,255
450,280,255,255,255
451,303,255,255,255
452,300,255,255,255
453,302,255,255,255
454,297,255,255,255
455,346,255,255,255
456,303,255,255,255
457,407,255,255,255
458,296,255,255,255
459,424,255,255,255
460,393,255,255,255
461,314,255,255,255
462,288,255,255,255
463,456,255,255,255
464,281,255,255,255
465,257,255,255,255
466,336,255,255,255
467,327,255,255,255
468,379,255,255,255
469,328,255,255,255
470,220,255,255,255
471,253,255,255,255
472,261,255,255,255
473,306,255,255,255
474,425,255,255,255
475,306,255,255,255
476,368,255,255,255
477,322,255,255,255
478,302,255,255,255
479,424,255,255,255
480,485,255,255,255
481,319,255,255,255
482,274,255,255,255
483,345,255,255,255
484,290,255,255,255
485,212,255,255,255
486,268,255,255,255
487,296,255,255,255
488,280,255,255,255
489,179,255,255,255
490,325,255,255,255
491,269,255,255,255
492,299,255,255,255
493,271,255,255,255
494,369,255,255,255
495,309,255,255,255
496,462,255,255,255
497,381,255,255,255
498,230,255,255,255
499,425,255,255,255
500,358,255,255,255
501,408,255,255,255
502,294,255,255,255
503,238,255,255,255
504,381,255,255,255
505,490,255,255,255
506,248,255,255,255
507,276,255,255,255
508,265,255,255,255
509,488,255,255,255
510,252,255,255,255
511,305,255,255,255
512,285,255,255,255
513,324,255,255,255
514,312,255,255,255
515,453,255,255,255
516,414,255,255,255
517,267,255,255,255
518,305,255,255,255
519,272,255,255,255
520,255,255,255,255
521,266,255,255,255
522,280,255,255,255
523,280,255,255,255
524,303,255,255,255
525,273,255,255,255
526,277,255,255,255
527,252,255,255,255
528,269,255,255,255
529,315,255,255,255
530,264,255,255,255
531,442,255,255,255
532,404,255,255,255
533,363,255,255,255
534,230,255,255,255
535,283,255,255,255
536,305,255,255,255
537,483,255,255,255
538,236,255,255,255
539,278,255,255,255
540,271,255,255,255
541,357,255,255,255
542,283,255,255,255
543,277,255,255,255
544,289,255,255,255
545,348,255,255,255
546,408,255,255,255
547,285,255,255,255
548,262,255,255,255
549,368,255,255,255
550,300,255,255,255
551,276,255,255,255
552,282,255,255,255
553,255,255,255,255
554,252,255,255,255
555,387,255,255,255
556,295,255,255,255
557,250,255,255,255
558,285,255,255,255
559,273,255,255,255
560,296,255,255,255
561,297,255,255,255
562,299,255,255,255
563,266,255,255,255
564,352,255,255,255
565,303,255,255,255
566,280,255,255,255
567,265,255,255,255
568,498,255,255,255
569,252,255,255,255
570,247,255,255,255
571,299,255,255,255
572,419,255,255,255
573,226,255,255,255
574,416,255,255,255
575,440,255,255,255
576,274,255,255,255
577,298,255,255,255
578,480,255,255,255
579,478,255,255,255
580,302,255,255,255
581,285,255,255,255
582,498,255,255,255
583,277,255,255,255
584,289,255,255,255
585,266,255,255,255
586,299,255,255,255
587,440,255,255,255
588,346,255,255,255
589,382,255,255,255
590,386,255,255,255
591,305,255,255,255
592,280,255,255,255
593,271,255,255,255
594,300,255,255,255
595,445,255,255,255
596,272,255,255,255
597,181,255,255,255
598,263,255,255,255
599,264,255,255,255
600,481,255,255,255
601,417,255,255,255
602,280,255,255,255
603,252,255,255,255
604,267,255,255,255
605,252,255,255,255
606,158,255,255,255
607,320,255,255,255
608,425,255,255,255
609,309,255,255,255
610,286,255,255,255
611,336,255,255,255
612,487,255,255,255
613,232,255,255,255
614,271,255,255,255
615,301,255,255,255
616,413,255,255,255
617,319,255,255,255
618,315,255,255,255
619,196,255,255,255
620,266,255,255,255
621,319,255,255,255
622,316,255,255,255
623,354,255,255,255
624,273,255,255,255
625,388,255,255,255
626,298,255,255,255
627,419,255,255,255
628,224,255,255,255
629,367,255,255,255
630,266,255,255,255
631,290,255,255,255
632,278,255,255,255
633,325,255,255,255
634,270,255,255,255
635,283,255,255,255
636,404,255,255,255
637,289,255,255,255
638,363,255,255,255
639,319,255,255,255
640,273,255,255,255
641,442,255,255,255
642,312,255,255,255
643,272,255,255,255
644,299,255,255,255
645,236,255,255,255
646,466,255,255,255
647,496,255,255,255
648,301,255,255,255
649,272,255,255,255
650,500,255,255,255
651,277,255,255,255
652,368,255,255,255
653,364,255,255,255
654,283,255,255,255
655,297,255,255,255
656,362,255,255,255
657,261,255,255,255
658,276,255,255,255
659,280,255,255,255
660,419,255,255,255
661,269,255,255,255
662,275,255,255,255
663,433,255,255,255
664,493,255,255,255
665,276,255,255,255
666,294,255,255,255
667,282,255,255,255
668,305,255,255,255
669,392,255,255,255
670,216,255,255,255
671,317,255,255,255
672,469,255,255,255
673,426,255,255,255
674,185,255,255,255
675,356,255,255,255
676,151,255,255,255
677,248,255,255,255
678,447,255,255,255
679,285,255,255,255
680,303,255,255,255
681,304,255,255,255
682,423,255,255,255
683,347,255,255,255
684,275,255,255,255
685,318,255,255,255
686,335,255,255,255
687,375,255,255,255
688,325,255,255,255
689,303,255,255,255
690,430,255,255,255
691,372,255,255,255
692,376,255,255,255
693,430,255,255,255
694,433,255,255,255
695,320,255,255,255
696,321,255,255,255
697,370,255,255,255
698,155,255,255,255
699,415,255,255,255
700,329,255,255,255
701,309,255,255,255
702,430,255,255,255
703,303,255,255,255
704,347,255,255,255
705,281,255,255,255
706,248,255,255,255
707,429,255,255,255
708,365,255,255,255
709,317,255,255,255
710,291,255,255,255
711,289,255,255,255
712,276,255,255,255
713,316,255,255,255
714,319,255,255,255
715,318,255,255,255
716,417,255,255,255
717,300,255,255,255
718,306,255,255,255
719,324,255,255,255
720,490,255,255,255
721,318,255,255,255
722,458,255,255,255
723,319,255,255,255
724,296,255,255,255
725,242,255,255,255
726,324,255,255,255
727,295,255,255,255
728,420,255,255,255
729,464,255,255,255
730,269,255,255,255
731,319,255,255,255
732,461,255,255,255
733,407,255,255,255
734,310,255,255,255
735,320,255,255,255
736,325,255,255,255
737,460,255,255,255
738,254,255,255,255
739,309,255,255,255
740,305,255,255,255
741,308,255,255,255
742,318,255,255,255
743,307,255,255,255
744,321,255,255,255
745,328,255,255,255
746,310,255,255,255
747,283,255,255,255
748,354,255,255,255
749,303,255,255,255
750,408,255,255,255
751,286,255,255,255
752,454,255,255,255
753,294,255,255,255
754,186,255,255,255
755,288,255,255,255
756,274,255,255,255
